Date,Minimum Temp (C),Mean Temperature (C),Maximum Temp (C),Rain (mm),Relative Humidity %,CloudCover,Mean Wind SpeedKm/h
2015-07-15,3.3500000000000227,9.150000000000034,14.950000000000044,0.0,32.5,,
2015-07-16,4.150000000000034,9.650000000000034,15.150000000000034,0.049,50.1,,
2015-07-17,3.450000000000045,11.750000000000028,20.05000000000001,0.0,52.75000000000001,,
2015-07-18,7.250000000000057,12.700000000000044,18.150000000000038,0.0,52.95,,
2015-07-19,4.750000000000057,9.600000000000051,14.450000000000044,0.0,57.150000000000006,,
2015-07-20,3.250000000000057,7.350000000000051,11.450000000000044,0.4410000196,56.650000000000006,,
2015-07-21,0.8500000000000227,8.150000000000034,15.450000000000044,0.0,59.10000000000001,,
2015-07-22,3.050000000000012,9.050000000000011,15.050000000000011,0.0,54.25,,
2015-07-23,3.750000000000057,10.30000000000004,16.850000000000023,0.0,57.2,,
2015-07-24,5.050000000000011,11.900000000000034,18.750000000000057,0.0,51.85000000000001,,
2015-07-25,6.250000000000057,13.350000000000051,20.450000000000045,0.0,43.25,,
2015-07-26,9.050000000000011,16.700000000000017,24.350000000000023,0.0,46.1,,
2015-07-27,11.250000000000057,20.80000000000004,30.350000000000023,0.0,44.0,,
2015-07-28,12.450000000000044,18.400000000000038,24.350000000000023,0.0,65.25,,
2015-07-29,10.050000000000011,14.600000000000025,19.150000000000038,0.0,73.9,,
2015-07-30,10.050000000000011,16.600000000000023,23.150000000000038,0.0,76.60000000000001,,
2015-07-31,6.9500000000000455,11.950000000000044,16.950000000000045,0.0,53.65,,
2015-08-01,7.250000000000057,15.000000000000057,22.750000000000057,0.0,46.7,,
2015-08-02,11.050000000000011,16.950000000000017,22.850000000000023,0.0,60.95,,
2015-08-03,9.150000000000034,12.500000000000028,15.850000000000025,0.0,69.4,,
2015-08-04,7.050000000000011,12.400000000000034,17.750000000000057,0.34300001960000004,65.1,,
2015-08-05,9.850000000000025,15.750000000000028,21.650000000000038,1.0045,71.35,,
2015-08-06,14.350000000000025,21.150000000000038,27.950000000000045,0.3185000196,53.650000000000006,,
2015-08-07,9.350000000000025,14.150000000000034,18.950000000000045,0.0735,58.55,,
2015-08-08,7.550000000000011,14.550000000000011,21.55000000000001,0.0,75.75,,
2015-08-09,8.750000000000057,12.000000000000057,15.250000000000057,27.46450196,73.75,,
2015-08-10,6.550000000000011,11.500000000000028,16.450000000000045,8.91799902,68.75,,
2015-08-11,6.350000000000023,10.400000000000034,14.450000000000044,0.0,80.9,,
2015-08-12,7.750000000000057,8.55000000000004,9.350000000000025,0.0,90.5,,
2015-08-13,4.550000000000011,8.600000000000023,12.650000000000034,0.0,69.60000000000001,,
2015-08-14,2.750000000000057,7.700000000000045,12.650000000000034,0.0,72.1,,
2015-08-15,3.150000000000034,10.100000000000025,17.05000000000001,0.0,52.00000000000001,,
2015-08-16,5.150000000000034,9.750000000000028,14.350000000000025,0.0,60.85000000000001,,
2015-08-17,4.9500000000000455,11.400000000000034,17.850000000000023,0.0,61.8,,
2015-08-18,7.450000000000045,13.600000000000051,19.750000000000057,0.17149999999999999,49.75,,
2015-08-19,8.150000000000034,12.750000000000028,17.350000000000023,0.0,56.0,,
2015-08-20,8.250000000000057,12.30000000000004,16.350000000000023,0.17149999999999999,58.85000000000001,,
2015-08-21,8.850000000000023,16.50000000000003,24.150000000000038,0.0,64.80000000000001,,
2015-08-22,8.850000000000023,13.150000000000034,17.450000000000045,0.1225,30.300000000000004,,
2015-08-23,7.850000000000023,11.950000000000015,16.05000000000001,0.1225,40.1,,
2015-08-24,7.450000000000045,13.750000000000028,20.05000000000001,0.17149999999999999,37.9,,
2015-08-25,10.350000000000025,18.400000000000038,26.450000000000045,0.0,39.45,,
2015-08-26,10.050000000000011,16.150000000000034,22.250000000000057,0.0,37.75,,
2015-08-27,7.550000000000011,14.650000000000034,21.750000000000057,0.4410000196,36.1,,
2015-08-28,12.950000000000044,23.10000000000005,33.25000000000006,0.049,38.5,,
2015-08-29,16.950000000000045,23.200000000000045,29.450000000000045,1.029,33.6,,
2015-08-30,14.150000000000034,21.400000000000038,28.650000000000038,0.0,60.3,,
2015-08-31,14.350000000000025,18.600000000000023,22.850000000000023,0.0,61.45,,
2015-09-01,8.250000000000057,12.400000000000034,16.55000000000001,0.0,56.85000000000001,,
2015-09-02,6.350000000000023,13.200000000000015,20.05000000000001,0.0,48.2,,
2015-09-03,6.650000000000034,11.900000000000034,17.150000000000034,0.0,63.1,,
2015-09-04,5.9500000000000455,12.80000000000004,19.650000000000038,0.0,59.150000000000006,,
2015-09-05,7.750000000000057,14.700000000000044,21.650000000000038,0.294,46.7,,
2015-09-06,9.750000000000057,16.150000000000034,22.55000000000001,0.0,46.3,,
2015-09-07,13.250000000000057,19.35000000000005,25.450000000000045,1.298499804,49.1,,
2015-09-08,12.550000000000011,17.100000000000023,21.650000000000038,4.997999999999999,45.3,,
2015-09-09,4.250000000000057,12.200000000000044,20.150000000000038,0.1225,65.15,,
